Content ID,Reaction_type,Reaction_Year,Reaction_Month,Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,,2021,4,Photo,Studying,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2020,11,Photo,Studying,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Dislike,2021,6,Photo,Studying,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2021,4,Photo,Studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2021,1,Photo,Studying,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2020,8,Photo,Studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2020,12,Photo,Studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Cherish,2021,4,Photo,Studying,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2021,1,Photo,Studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2021,4,Photo,Studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Love,2020,8,Photo,Studying,positive,65.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Indifferent,2020,11,Photo,Studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2020,11,Photo,Studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2020,11,Photo,Studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2020,10,Photo,Studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2020,9,Photo,Studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Super love,2021,2,Photo,Studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2020,9,Photo,Studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Indifferent,2021,2,Photo,Studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2021,5,Photo,Studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Intrigued,2021,1,Photo,Studying,positive,45.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Peeking,2020,11,Photo,Studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Worried,2021,4,Photo,Studying,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Like,2021,6,Photo,Studying,positive,50.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Heart,2021,4,Photo,Studying,positive,60.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Worried,2021,3,Photo,Studying,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2020,6,Photo,Studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Hate,2021,5,Photo,Studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Cherish,2020,8,Photo,Studying,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Super love,2020,8,Photo,Studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Intrigued,2020,8,Photo,Studying,positive,45.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Scared,2021,4,Photo,Studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2021,3,Photo,Studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Indifferent,2021,5,Photo,Studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Super love,2021,1,Photo,Studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Disgust,2021,4,Photo,Studying,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Super love,2021,2,Photo,Studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Interested,2021,2,Photo,Studying,positive,30.0
